,URL,Job Title,Company Name,Experience Required,Salary,Required Skillset,Education Requirements,Job Description,Posted,Openings,Applicants,Role,Industry Type,Department,Employment Type,Role Category
0,https://www.naukri.com/job-listings-probationary-officers-programme-for-pan-india-icici-bank-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-030622003536?src=directSearch&sid=17264863978127277&xp=1&px=1,Probationary Officers' Programme (For PAN India),ICICI Bank,0 - 5 years,5-5.5 Lacs P.A.,"['Sales, Relationship Management']","[""{'UG': 'Any Graduate'}""]","[""Job description\n\nICICI Bank Manipal Probationary Officers' Programme for Sales and Relationship Management is an initiative of ICICI Bank in partnership with Manipal Global Education Services. The Training Programme aims to attract young talent who wish to pursue a career in sales and relationship management in banking.\n\nIt is a vocational training programme designed to develop a pool of first level managers with banking knowledge and required skill-sets to perform efficiently in their day to day activities. The roles offered on joining the bank after successful completion of the Programme will involve sales, servicing, cross-selling and acquiring new customers through field visits as part of the duties/tasks assigned. Similarly, internship / on-the-job-training periods will also involve these duties/tasks as part of the learning process.\n\nLocation: Across India\n\nExperience: 0-5 years\n\n\nProgramme Highlights\n\n\n\n\nGet a Post Graduate Diploma in Banking for Sales and Relationship Management: Be a part of one year course with 4 months of classroom training at ICICI Manipal Academy Bengaluru campus, 2 months of internship at ICICI Bank Branch & 6 months of on-the-job training.\n\n\n\nOpportunity to join ICICI Bank: Get an opportunity to join ICICI Bank as a Probationary Officer in sales and relationship manager role at Deputy Manager (Band-1) grade on successful completion of the programme.\nInnovative Pedagogy: Numerous real-life case studies and hands-on training, to balance knowledge acumen and practical learning.\nTech-Driven Learning: Through state of the art infrastructure like branch stimulator & processing centre, learning experience is enriched and practiced at the highest standards.\nJoin the Elite Group: This program has successfully produced 28,500+ bankers who proudly serve the banking needs of the country.\n\n\n\nProgramme Highlights\n\n\n\nOne year full time residential programme conducted at ICICI Manipal Academy campus, Bengaluru including dual internship at ICICI Bank\nThe programme focuses on balanced approach of providing inputs comprising of relevant knowledge, developing sales and relationship banking skills and shaping required behaviour\nThe training imparts knowledge and skills in core banking areas like banking products, processes, systems, regulations and compliance frameworks involved in day to day operations\n\n\n\n\nProgramme Structure\n\n\n\n\nThe programme structure is as follows:\n\nTerm 1 (4 months) - Classroom training at IMA, Bengaluru\nTerm 2 (2 months) - Internship at ICICI Bank\nTerm 3 (6 months) - On-the-job training at ICICI Bank\n\n\n\n\nEligibility Criteria\n\nThose who have completed graduation with minimum of 60% (Aggregate) marks in any discipline.\nBelow 25 years of age\nOnly shortlisted applicants will be invited for the selection process.\n\n\n\n\nStipend during the programme\n\nRs. 2.32 lakh to Rs. 2.60 lakh, depending on the location.\n\n\n\n\n\nStarting Salary (CTC)\n\nRs. 5.00 lakh to Rs. 5.50 lakh per annum, depending on the location.\n\n\n\n\nKey Considerations for the applicant\n\n\n\n\n1. The role and location offered post the succesfull completion will be based on the needs of the organisations. At ICICI Bank, inline with our Philosophy of One Bank One Bank, our employees are expected to be flexible with the role and location.\n\n2. Post the successful completion of the programme, applicants shall be placed on role that is sales and relationship management based.\n\n\n\nRole: Other\nIndustry Type: Banking\nDepartment: Other\nEmployment Type: Full Time, Permanent\nRole Category: Other\nEducation\nUG: Any Graduate\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nSalesRelationship Management""]",5 days ago,1000,6854,Other,Banking,Other,"Full Time, Permanent",Other
1,https://www.naukri.com/job-listings-infogain-india-is-hiring-for-microsoft-power-app-platform-architect-infogain-pune-bengaluru-mumbai-all-areas-12-to-16-years-140924009790?src=directSearch&sid=17264863978127277&xp=2&px=1,Infogain India is hiring For Microsoft Power app Platform Architect,Infogain,12 - 16 years,Not Disclosed,"['Canvas, PowerApps, RPA, solution architecture, Pre-Sales, Custom Pages, Power Automate, Power Platform, Model Driven, Dataverse, MS Power Platform']","[""{'UG': 'B.Tech/B.E. in Any Specialization', 'PG': 'M.Tech in Any Specialization, MCA in Any Specialization'}""]","['Job description\n\nGreetings from Infogain!\n\n\n\n\nWe are having Immediate requirement for Microsoft Power app Architect in Infogain India Pvt Ltd. We are seeking a talented Microsoft Power Platform Architect to join our dynamic team and lead our Power Platform initiatives.\n\n\n\n\nMode of Hiring- Full Time\n\nSkills : PowerApps\n\nExp: 12 to 16 years\n\nLocation: Pune, Mumbai, Bangalore, Noida\n\nNotice period- Early joiner\n\nEducational Qualification: BE/BTech/MCA/M.tech\n\n\n\n\nJob Description: Microsoft Power Platform Architect\n\nResponsibilities\n\n1. Create and propose MS Power Platform solutions as per requirements and best practices\n\n2. Build high- and low- level solution design documentation\n\n3. Review Power Platform solutions and propose Architectural / Design improvements\n\n4. Engage with Customer on Architecture and Design reviews and discussions.\n\n5. Strong understanding of the following Power Platform tools\n\na. PowerApps (Canvas / Custom Pages; Model Driven)\n\nb. Power Automate Cloud Flow, Desktop\n\nc. Power Virtual Agent / Copilot Studio\n\nd. Power Pages\n\ne. AI Builder, AI Prompt\n\n6. Using following data source\n\na. Dataverse\n\nb. Azure SQL, SharePoint List / Document library\n\nc. Dataflow\n\nBasic Qualifications\n\nExperience in Pre-Sales - defining end to end solution architecture using Power Apps, Power Pages, Power Automate, Power BI(optional), Intelligent Document Processing, Dataverse and Power Virtual Agents/ Copilot Studio\nExperience with Legacy Application modernization with Power Platform, RPA Bot migration to Power Automate\nExperience in implementing MS Power Platform solutions; configuring and customizing the MSPP Centre of Excellence (CoE) starter kit.\nExposure to other automation platforms preferred (e.g. Automation Anywhere, UiPath)\nKnowledge of MS Power Platform licensing model\nExperience with API or services integrations and a firm understanding of implementing solutions with multiple data sources, on-premises data gateway.\nExposure to Azure services (e.g. Azure App Registration, Azure Pipeline, Azure Blob storage)\nExperience with CI/CD and Power Platform ALM Practices\n\nCertification\n\nPreferred - MS Power Platform Certified\n\nPreferred - Certifications: PL-600 Microsoft Power Platform Solution Architect\n\nRole: Technical Architect\nIndustry Type: IT Services & Consulting\nDepartment: Engineering - Software & QA\nEmployment Type: Full Time, Permanent\nRole Category: Software Development\nEducation\nUG: B.Tech/B.E. in Any Specialization\nPG: M.Tech in Any Specialization, MCA in Any Specialization\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nCanvasPowerApps\nRPAsolution architecturePre-SalesCustom PagesPower AutomatePower PlatformModel DrivenDataverseMS Power Platform']",2 days ago,1,59,Technical Architect,IT Services & Consulting,Engineering - Software & QA,"Full Time, Permanent",Software Development
2,https://www.naukri.com/job-listings-oracle-fusion-scm-functional-lead-oracle-kolkata-mumbai-gandhinagar-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-thiruvananthapuram-8-to-13-years-270723006137?src=directSearch&sid=17264863978127277&xp=3&px=1,Oracle Fusion SCM Functional Lead,Oracle,8 - 13 years,18-33 Lacs P.A. (Including Variable: 15%),"['Fusion Scm, Scm Cloud, MFG, Order To Cash, Planning, OM']","[""{'UG': 'BCA in Computers, B.Tech/B.E. in Computers', 'PG': 'M.Tech in Computers, MCA in Computers'}""]","[""Job description\n\nOverview\n\nOracle Global Service Center (GSC) is a unit within oracle that establishes long-term relationships with many of Oracle's customers through annuity-based service contracts and project-based one-time services. It is an offshore Hub that will cater to the needs of all Service entities across Oracle globally. GSC team sells from a broad IT-services portfolio in both the fixed price and T&M basis. GSC services are typically requested by large Oracle customers that require the utmost attention to real mission-critical applications and processes. GSC covers the majority of large-scale Oracle customers.\n\nOracle Global Service Center provides unmatched, tailored support that ensures organizations Oracle technology investments deliver the cutting-edge innovation and performance your business requires to compete, all while coexisting within your IT environment.\n\nWe ensure that our customers get the maximum value from their investment in Oracle Products and Services. This consolidation exercise and the associated scale brings in many benefits to Oracle as well:\n\nAs a Center for Innovation, make quicker progress on Tooling & Automation.\nAs a Center of Expertise, efficiently build scalable solutions.\nEffective offshore hiring through centralized intake and growth plans.\nReduced attrition through better growth opportunities for our team\n\nThis change will mean increased work diversity, improved growth opportunities and an enriched learning environment.\n\nOur cloud solutions are transforming the world of business, empowering governments, and helping society evolve with the pace of change. Oracle Supply Chain & Manufacturing manages and automates planning, sourcing, production, and delivery of goods and services around the globe. With machine learning-powered process automation and actionable recommendations, the applications support dynamic supply chains and accelerate the introduction of new products to market. Join our team of top-class consultants and help our customers achieve more than ever before.\n\n\n\n\nDescription\n\nWhat You’ll Do\n\nAn experienced consulting professional who understands solutions, industry best practices, multiple business processes or technology designs within a product/technology family.\nOperates independently to provide quality work products to an engagement.\nPerforms varied and complex duties and tasks that need independent judgment, to implement Oracle products and technology to meet customer needs.\nApplies Oracle methodology, company procedures, and leading practices.\nDemonstrates expertise to deliver functional and technical solutions on moderately complex customer engagements.\nMay act as the team lead on projects.\nEffectively consults with management of customer organizations.\nParticipates in business development activities.\nDevelops and configures detailed solutions for moderately complex projects.\n\n\n\nRequired Skills/Experience\n\nWhat You’ll Bring\n\nYou have that rare combination—a sharp technical brain and a head for business. You’ll use this to help customers achieve real-world success with our products. We also look for:\n\nSCM functional expertise (Source – Procurement, Self Service Procurement, Sourcing, Contracts, Approval Management AMX/BPM, Inventory Management, Order Management, Pricing, Sales and Service Contract, Install Base, Manufacturing, Planning).\nExperience in one or more modules like Procurement Suite covering Purchasing, Self Service Procurement, Sourcing, Contracts, SQM, Approval Management using AMX and BPM, and Inventory is must and good to have exposure in Order Management, Pricing, Service Contract, Install Base, Manufacturing and Planning.\nAt least 3-4 full life cycle implementations, preferably with US implementation experience.\nHaving experience in conducting architecture, design, and solution workshops, conceptualizing and articulating integration designs and conducting Conference Room Pilots\nHaving experience in configuring the Applications in a client facing role\nBachelor of Engineering or master’s degree in business administration (MBA) with 5 to 10 years of total experience in EBS or Cloud Application Implementations.\nExcellent communication skills – written & verbal, mandatory.\nGood interpersonal skills with ability to build rapport with all stakeholders.\nAbility to present ideas and solutions in a clear & concise manner.\nSelf-motivated with a lot of energy and drive. Should have the ability and willingness to learn.\nShould be good team player and have good analytical skillsRole & responsibilities\n\n\n\n\n\nRole: Cloud Consultant\nIndustry Type: IT Services & Consulting\nDepartment: Consulting\nEmployment Type: Full Time, Permanent\nRole Category: IT Consulting\nEducation\nUG: BCA in Computers, B.Tech/B.E. in Computers\nPG: M.Tech in Computers, MCA in Computers\n\nread more\n\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nFusion ScmScm CloudMFG\nOrder To CashPlanningOM""]",5 days ago,5,69,Cloud Consultant,IT Services & Consulting,Consulting,"Full Time, Permanent",IT Consulting
3,https://www.naukri.com/job-listings-international-voice-process-executive-uk-shift-sal-4-8-lpa-trigent-software-mumbai-bengaluru-1-to-4-years-160924004688?src=directSearch&sid=17264863978127277&xp=4&px=1,International Voice Process Executive - UK Shift - Sal - 4.8 LPA,Trigent Software,1 - 4 years,3-4.75 Lacs P.A.,"['Communication Skills, Strategic Thinking, Bpo Voice, International BPO, International Voice Process']","[""{'UG': 'Any Graduate'}""]","[""Job description\n\nGreetings from Trigent Software!!\n\n\n\n\nHiring Experienced for International Voice Process\n\n\n\n\nRole: Customer Support Representative\n\nMode of Work: Work from Office\n\nLocation: Bangalore (Mahadevpura), Mumbai (Vikhroli)\n\nWorking Days: 5 days\n\nShift: UK/US rotational shift\n\nQualification: PUC & Grads\n\n\n\n\nSalary: Upto 4.80 LPA + Incentives\n\n\n\n\nRoles and Responsibilities:\n\n\n\n\n\n\xa0\xa0•\xa0Good customer service skill with command on written communication skills\xa0\n\nAbility to multi-task in usage of different applications and tools\xa0\xa0\xa0•\xa0\xa0\xa0\xa0\xa0\xa0\xa0\n\n\xa0\xa010+2 Under-graduates with minimum 6 months prior call center experience preferred\xa0\xa0\xa0\n\n\xa0\xa0\xa0\xa0•In this role, you are required to solve routine problems, largely through precedent and referral to general guidelines.\n\n\xa0\xa0\xa0•Candidate expected interactions are within the Candidate team and direct supervisor.\xa0\xa0\n\n\xa0• Candidates will be provided detailed to a moderate level of instruction on daily work tasks and detailed instruction on new assignments and the decisions that you make that would impact Candidate work.\xa0\xa0\xa0\n\n• Candidates will need to be well versed with basic statistics and terms involved in the day-to-day business and use it while discussing with stakeholders.\xa0\n\n\xa0\xa0• Candidates will be required to help in the overall team's workload by managing Candidate deliverables and help the team when required.\n\n\xa0\xa0\xa0• Candidates will be an individual contributor as a part of a team, with a predetermined focused scope of work.\xa0\n\n\n\n\nPreferred candidate profile:\n\n* Customer support experience in International Voice Process only\n\n* Candidate should be comfortable with Shifts\n\n\n\n\nPerks and Benefits:\n\n* 2- way cab will be provided\n\n* Food facility\n\n\n\n\n**Looking only for immediate joiners**\n\n\n\n\nFor More Details Contact HR Reena @ 8072181834 {Call or WhatsApp} or email your resume to reena_s@trigent.com\n\n\n\n\nRegards,\n\nHR Reena\n\nTrigent Software\n\n8072181834\n\nRole: Customer Success Associate\nIndustry Type: BPO / Call Centre\nDepartment: Customer Success, Service & Operations\nEmployment Type: Full Time, Permanent\nRole Category: Customer Success\nEducation\nUG: Any Graduate\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nCommunication Skills\nStrategic ThinkingBpo VoiceInternational BPOInternational Voice Process""]",Few Hours Ago,50,15,Customer Support Representative,BPO / Call Centre,"Customer Success, Service & Operations","Full Time, Permanent",Customer Success
4,https://www.naukri.com/job-listings-zonal-sales-head-aif-pms-mumbai-kolkata-bangalore-m-s-forward-kolkata-bengaluru-mumbai-all-areas-10-to-20-years-160924001379?src=directSearch&sid=17264863978127277&xp=5&px=1,"Zonal Sales Head - AIF/PMS - Mumbai, Kolkata, Bangalore",M/S Forward,10 - 20 years,Not Disclosed,"['PMS, Distribution Channel Sales, HNI, Zonal sales, UHNI, Channel Distribution, AIF']","[""{'UG': 'Any Graduate', 'PG': 'Any Postgraduate'}""]","['Job description\n\nZonal Sales Head - AIF/PMS - Mumbai, Kolkata, Bangalore\n\nJob Purpose\n\nThe position is responsible for owning, managing and driving total PMS/AIF through consultative engagement with multiple channels and direct clients\n\nKey Deliverables\n\n1. Responsible for achieving sales targets and development of PMS/AIF funds market\n\n2. Should be able to reach to the Direct clients, IFA, ND, Wealth outfits, RIAs, PFs/Superannuation funds and select partners on his own or with the help of the respective stakeholders of the Zone/ Regions.\n\n3. Focus on increasing the premium client base of PMS investors by acquiring Family offices, UHNIs and HNIs.\n\n4. Create lead generation campaigns to drive customer acquisition Organize events with partners and retail customers to drive sales of mutual fund products. Events include knowledge sessions, meetups, workshops etc.\n\n5. Build customer relationships – Develop and strengthen relationships with all intermediaries as well as direct clients.\n\n6. Regularly educate and inform the team on the ground about the latest funds developments by conducting sessions on a periodic basis.\n\n7. Managing the region with complete ownership of developing the PMS business in the region to substantial level.\n\nRole Requirements\n\nEducational Qualifications: Graduation in any discipline\n\nExperience: 10+ Years of in PMS sales/relevant work experience\n\nDomain Knowledge: Understanding of PMS AIF at a Zonal level\n\n\n\nRole: Sales Manager\nIndustry Type: Financial Services (Asset Management)\nDepartment: BFSI, Investments & Trading\nEmployment Type: Full Time, Permanent\nRole Category: Trading, Asset & Wealth Management\nEducation\nUG: Any Graduate\nPG: Any Postgraduate\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nPMSDistribution Channel Sales\nHNIZonal salesUHNIChannel DistributionAIF']",Few Hours Ago,1,Less than 10,Sales Manager,Financial Services (Asset Management),"BFSI, Investments & Trading","Full Time, Permanent","Trading, Asset & Wealth Management"
5,https://www.naukri.com/job-listings-hiring-for-trainer-vlcc-pan-india-hair-skin-makeup-vlcc-kochi-mumbai-bengaluru-0-to-5-years-130924008702?src=directSearch&sid=17264863978127277&xp=6&px=1,Hiring For Trainer @ VLCC Pan India - Hair / Skin / Makeup,Vlcc,0 - 5 years,Not Disclosed,"['Advance Courses, Beauty, Hair, Upselling, Makeup, Cosmetology, Admissions, Skin, Beautician Activities, Counselling, Hair Styling']","[""{'UG': 'Graduation Not Required'}""]","['Job description\n\nDear Candidates,\n\n\nWe are seeking a visionary and experienced Trainers/ Faculties [ Hair,Skin,Makeup] to lead our VLCC Healthcare Institute. The ideal candidate will drive strategic initiatives, oversee Institute and administrative operations, and advance our commitment to exceptional patient care and innovative healthcare practices.\n\n\nProfile - Faculties/ Trainer\n\nLocation - Pan India [ Preferably- Cochin, Mumbai, Bangalore]\n\nExperience - Fresher - 5+ Years\n\nSalary - Negotiable\n\nEducation - 12th Pass [ Advance Courses]\n\nPreference - Female\n\n\n\n\nContact HR Person - 9268110029\n\n\n\n\nSPECIAL REQUIREMENTS:\n\n\n\n\nAccept additional responsibilities, willing to relocate\n\n\n\n\nJOB SCOPE:\n\n\n\n\nUnder the guidance of the Training In charge and in co-ordination with other professionals and within the limits of established Company policies advise and monitor the clients for achieving the desired object.\n\nKey Responsibilities: To understand the syllabus & contents of :-\n\n\n\nBasic & advance Hair designing (hair cuts, styling, colouring and treatments)\nBasic & advance Make up\nBasic & advance Cosmetology/Skin Therapy.\n\n\nTo deliver the theory & practical classes related to specific course\nTo hold & deliver hair workshops/seminars\nTo help with in-house revenue generation\nTo take grooming sessions for students/corporate\nTo participate in promotional events/activities\nTo understand & coordinate for city & guilds exams\nTo workout /plan batches/time table /lesson plans for students\nTo maintain and handle stock keeping (retail & consumption)\nTo understand how to place orders for various products\nTo conduct exams & evaluate students\nTo manage & maintain lab facilities & equipment\nTo manage the database related to students, alumni, suppliers & vendors\n\n\n\n\nKnowledge Skills and Abilities : -\n\n\n\n\nEnjoys helping people, good listening skills, good communication skills, excellent motivator, patience, agility to handle short tempers, mood swings and difficult people, ability to take responsibility, proactive, enjoys challenges, fit and healthy.\n\n\n\n\nInterested candidates feel free to connect on below mention number and whatsaap your resume @9268110029.\n\n\nLocation _ Pan India\n\n\n\n\nWarm Regards\n\n\n\n\nAshok - 9268110029\n\n\n\n\nVLCC Healthcare Pvt Ltd.\n\n\n\n\n\n\nRole: Beauty & Personal Care - Other\nIndustry Type: Beauty & Personal Care\nDepartment: Sports, Fitness & Personal Care\nEmployment Type: Full Time, Permanent\nRole Category: Beauty & Personal Care\nEducation\nUG: Graduation Not Required\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nAdvance Courses\nBeautyHairUpsellingMakeupCosmetologyAdmissionsSkinBeautician ActivitiesCounsellingHair Styling']",3 days ago,30,45,Beauty & Personal Care - Other,Beauty & Personal Care,"Sports, Fitness & Personal Care","Full Time, Permanent",Beauty & Personal Care
6,https://www.naukri.com/job-listings-sap-ewm-functional-consultant-atos-syntel-mumbai-pune-bengaluru-8-to-13-years-090924017066?src=directSearch&sid=17264863978127277&xp=7&px=1,Sap Ewm Functional Consultant,Atos Syntel,8 - 13 years,Not Disclosed,"['SAP EWM, S4 HANA, SAP WM']","[""{'UG': 'Any Graduate'}""]","['Job description\n\nDear Candidate,\n\n\n\n\nWe are hiring for SAP EWM Functional.\n\n\n\n\nShare your profiles to sneha.r@eviden.com if you want to elevate your career in SAP EWM.\n\n\n\n\n\nPosition: Senior Consultant\n\nExperience: 8 to 15 Years\n\nLocation: Bangalore/Pune/Mumbai/Chennai\n\n\n\n\n\nJob Description:\n\n\n\nGood experience in Automation, Business Process Consulting, problem definition, Architecture/Design /Detailing of Processes.\nShould have experience in SAP EWM module Skills and at least one end to end SAP EWM Implementation Experience.\nKey areas of expertise Goods Receipt, Inspection, Deconsolidation, Physical Inventory, Replenishment, Wave Processing, Picking/Packing, Shipping, Inspection.\nSupport to Business User for UAT (User Acceptance Testing). Should be good in Functional Specification and Documentation.\nKnowledge oofn interfaces with BI & XI. Ability to read & understand Programs. Analytical and Communication skills.\nProject and talent management.\n\n\nRole: IT Infrastructure Services - Other\nIndustry Type: IT Services & Consulting\nDepartment: IT & Information Security\nEmployment Type: Full Time, Permanent\nRole Category: IT Infrastructure Services\nEducation\nUG: Any Graduate\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nSAP EWMS4 HANASAP WM']",7 days ago,3,94,IT Infrastructure Services - Other,IT Services & Consulting,IT & Information Security,"Full Time, Permanent",IT Infrastructure Services
7,https://www.naukri.com/job-listings-microsoft-power-apps-bangalore-hyderabad-pune-wipro-hyderabad-pune-bengaluru-8-to-13-years-160924008324?src=directSearch&sid=17264863978127277&xp=8&px=1,"Microsoft Power Apps||Bangalore , Hyderabad,Pune",Wipro,8 - 13 years,Not Disclosed,"['Microsoft 365, Azure Logic Apps, Power Apps Development, SQL']","[""{'UG': 'Any Graduate'}""]","['Job description\n\nMS Power apps\n\n8+ years\n\nBangalore/ Pune/ Hyderabad\n\n\n\n\nJD :\n\nMinimum work experience 8 Years\n\nWork directly with the business to support various projects and solutions\n\nResponsible for developing PowerApps model and canvas driven apps\n\nHands-on experience in designing, prototyping, and supporting of testing, development and refactoring end-to-end applications on ever-changing modern technology platforms in public/hybrid cloud environments\n\nInterpret and design database models (SQL Server etc.).\n\nUtilize problem-solving skills to understand process pain points and troubleshoot as challenges arise\n\nInstallation and configuration of data gateways\n\nDevelopment of Azure logic apps and functions and analytics integration\n\nProvide architecture, configuration, administration, and functional support to expand capabilities in Microsoft 365 technologies, including a focus on keeping up to date with developing solutions and future roadmap of Microsoft\n\nDesign end-to-end solutions that improve collaboration, productivity, and knowledge sharing\n\nResponsible for planning, designing and developing dashboards and reports for clients\n\nIdentify areas and processes where Microsoft 365, Office 365, and SharePoint can be better leveraged and facilitate process improvement\n\nImplement solutions on the Microsoft Power Platform, including Common Data Service (CDS), Power Apps, and Dynamics 365.\n\nCreating Technical specifications Documents and Flow\n\nStrong in developing new functionality on existing software products.\n\nSecondary Skill:\n\nProject planning, Identify dependencies and risks\n\nCommunicate with the customer with overall progress of the project, current challenges, risks, and other information that may impact the project.\n\nEscalation handling of performance and personnel for entire project\n\nAble to Build good rapport with key stakeholders\n\nHighly self-motivated and able to work independently\n\n\n\nRole: Technical Consultant\nIndustry Type: IT Services & Consulting\nDepartment: Consulting\nEmployment Type: Full Time, Permanent\nRole Category: IT Consulting\nEducation\nUG: Any Graduate\n\nread more\n\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nMicrosoft 365Azure Logic AppsPower Apps DevelopmentSQL']",Just now,1,Less than 10,Technical Consultant,IT Services & Consulting,Consulting,"Full Time, Permanent",IT Consulting
8,https://www.naukri.com/job-listings-sap-btp-tata-consultancy-services-hyderabad-pune-bangalore-rural-7-to-10-years-140924009120?src=directSearch&sid=17264863978127277&xp=9&px=1,SAP BTP,Tata Consultancy Services,7 - 10 years,Not Disclosed,"['SAP BTP, Sap Cpi, SAP PI']","[""{'UG': 'Any Graduate'}""]","['Job description\n\nTCS Hiring for SAP BTP ON PAN INDIA Location\n\nSkill: SAP BTP\n\nExperience: 8-10\n\nLocation: PAN INDIA\n\nREQUIRED TECHNICAL SKILLS: Cloud Integration, API Management, Fiori, UI5 and BTP Cockpit\n\nJOB DESCRIPTION:\n\n\n\n\nRequired Technical Skill Set\n\n\n\n\nSAP Integration, BTP Integration Suite, CPI\n\nDesired Competencies (Technical/Behavioral Competency)\n\nMust-Have\n\n\n\nMinimum of 3 years of experience in the SAP BTP Integration Suite (previously CPI, PI).\nIn depth knowledge of SAP related integrations, leveraging various integration techniques.\nHands on experience on leveraging Integration protocols / standards SOAP, ODATA, EDI, sFTP, RESTful\nExperience with CI/CD pipelines, unit testing\nWorking knowledge of SAP proprietary interfaces RFCs, BAPIs, JCo\nWorking knowledge of extensibility using technologies like ABAP, Java, NodeJS etc. in the BTP Platform\nGood knowledge of various services available on BTP platform.\nWill be responsible for technically implementing the requirements based on inputs from the functional teams.\nGood communication skills.\n\nGood-to-Have\n\n\n\nExperience with various SAP functional areas – C2C, A2R, Manufacturing, R2D, Data, S2P.\n\nThanks & Regards\n\nRole: IT Consulting - Other\nIndustry Type: IT Services & Consulting\nDepartment: Consulting\nEmployment Type: Full Time, Permanent\nRole Category: IT Consulting\nEducation\nUG: Any Graduate\n\nread more\n\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nSAP BTP\nSap CpiSAP PI']",2 days ago,10,Less than 10,IT Consulting - Other,IT Services & Consulting,Consulting,"Full Time, Permanent",IT Consulting
9,https://www.naukri.com/job-listings-java-fullstack-developer-hyderabad-bangalore-pune-hitachi-digital-services-hyderabad-pune-bengaluru-4-to-9-years-140924007707?src=directSearch&sid=17264863978127277&xp=10&px=1,"Java Fullstack Developer - Hyderabad , Bangalore , Pune",Hitachi Digital Services,4 - 9 years,Not Disclosed,"['Springboot Java, Java, Angular JS']","[""{'UG': 'B.Tech/B.E. in Any Specialization, Any Graduate'}""]","['Job description\n\n5+ years of Java Full Stack development Life Cycle experience & experience working as a full stack java developer\n2. Having good web development with AngularJS\n3. Having good hands-on experience on backend technologies like JAVA & Spring Boot\n4. Experience in working and integrating RESTful APIs and Microservices\n5. Having working knowledge on CLOUD AWS Deployment & DevOps CI/CD\nJAVA FULL STACK DEVELOPERS\n1. 5+ years of Java Full Stack development Life Cycle experience & experience working as a full stack java developer\n2. Having good web development with AngularJS\n3. Having good hands-on experience on backend technologies like JAVA & Spring Boot\n4. Experience in working and integrating RESTful APIs and Microservices\n5. Having working knowledge on CLOUD AWS Deployment & DevOps CI/CD\n\nRole: Full Stack Developer\nIndustry Type: IT Services & Consulting\nDepartment: Engineering - Software & QA\nEmployment Type: Full Time, Permanent\nRole Category: Software Development\nEducation\nUG: B.Tech/B.E. in Any Specialization, Any Graduate\nKey Skills\nSkills highlighted with ‘‘ are preferred keyskills\nSpringboot JavaJavaAngular JS']",2 days ago,1,787,Full Stack Developer,IT Services & Consulting,Engineering - Software & QA,"Full Time, Permanent",Software Development
